,Tên phim,Năm sản xuất,Thời gian xem,Đánh giá
259,Cướp Biển Vùng Caribê: Lời Nguyền Của Tàu Ngọc Trai Đen,(2003),143 min,8.1
260,Dil Chahta Hai,(2001),183 min,8.1
261,Hãy Bắt Tôi Nếu Có Thể,(2002),141 min,8.1
262,Her Sey Çok Güzel Olacak,(1998),107 min,8.1
263,Amores perros,(2000),154 min,8.1
264,Hera Pheri,(2000),156 min,8.1
265,Sarfarosh,(1999),174 min,8.1
266,Công Ty Quái Vật,(2001),92 min,8.1
267,Lagaan: Once Upon a Time in India,(2001),224 min,8.1
268,Festen,(1998),105 min,8.1
269,The Iron Giant,(1999),86 min,8.1
270,Bá Tước Lebowski,(1998),117 min,8.1
271,Tâm trạng khi yêu,(2000),98 min,8.1
272,Lối Sống Đồi Trụy,(1996),93 min,8.1
273,Thị Trấn Fargo,(1996),98 min,8.1
274,Eskiya,(1996),128 min,8.1
275,Underground,(1995),170 min,8.1
276,La haine,(1995),98 min,8.1
277,Before Sunrise,(1995),101 min,8.1
278,Ba Sắc Màu: Đỏ,(1994),99 min,8.1
279,In the Name of the Father,(1993),133 min,8.1
280,Ngày Chuột Chũi,(1993),101 min,8.1
281,Bá Vương Biệt Cơ,(1993),171 min,8.1
282,Đèn Lồng Đỏ Treo Cao,(1991),125 min,8.1
283,Dom za vesanje,(1988),142 min,8.1
284,Hội Cố Thi Nhân,(1989),128 min,8.1
285,Hàng Xóm Của Tôi Là Totoro,(1988),86 min,8.1
286,Stand by Me,(1986),89 min,8.1
287,Trung Đội,(1986),120 min,8.1
288,Trang Trại,(1986),120 min,8.1
289,Kẻ Hủy Diệt,(1984),107 min,8.1
290,"Paris, Texas",(1984),145 min,8.1
291,Cuộc Đời Gandhi,(1982),191 min,8.1
292,Nơi Tất Cả Chỉ Là Những Giấc Mơ,(1982),188 min,8.1
293,Tội Phạm Nhân Bản,(1982),117 min,8.1
294,Stalker,(1979),162 min,8.1
295,Höstsonaten,(1978),99 min,8.1
296,Kẻ Săn Hươu,(1978),183 min,8.1
297,Tay Đấm Huyền Thoại,(1976),120 min,8.1
298,Network,(1976),121 min,8.1
299,The Message,(1976),177 min,8.1
300,Sholay,(1975),204 min,8.1
301,Hàm Cá Mập,(1975),124 min,8.1
302,Barry Lyndon,(1975),185 min,8.1
303,Paper Moon,(1973),102 min,8.1
304,The Exorcist,(1973),122 min,8.1
305,Anand,(1971),122 min,8.1
306,Cool Hand Luke,(1967),127 min,8.1
307,Persona,(1966),85 min,8.1
308,Andrei Rublev,(1966),205 min,8.1
309,Giai Điệu Hạnh Phúc,(1965),172 min,8.1
310,La battaglia di Algeri,(1966),121 min,8.1
311,The Man Who Shot Liberty Valance,(1962),123 min,8.1
312,Jungfrukällan,(1960),89 min,8.1
313,Inherit the Wind,(1960),128 min,8.1
314,Les quatre cents coups,(1959),99 min,8.1
315,Ben-Hur: Truyền Thuyết Đức Chúa Trời,(1959),212 min,8.1
316,Kakushi-toride no san-akunin,(1958),139 min,8.1
317,Smultronstället,(1957),91 min,8.1
318,Phong Ấn Thứ Bảy,(1957),96 min,8.1
319,Le notti di Cabiria,(1957),110 min,8.1
320,Kumonosu-jô,(1957),110 min,8.1
321,Du rififi chez les hommes,(1955),118 min,8.1
322,On the Waterfront,(1954),108 min,8.1
323,Les diaboliques,(1955),117 min,8.1
324,Ace in the Hole,(1951),111 min,8.1
325,White Heat,(1949),114 min,8.1
326,Người Thứ Ba,(1949),104 min,8.1
327,Đôi Giày Đỏ,(1948),135 min,8.1
328,The Best Years of Our Lives,(1946),170 min,8.1
329,Rebecca,(1940),130 min,8.1
330,The Grapes of Wrath,(1940),129 min,8.1
331,Phù Thủy Xứ Oz,(1939),102 min,8.1
332,Mr. Smith Goes to Washington,(1939),129 min,8.1
333,La Grande Illusion,(1937),113 min,8.1
